36810,38766
41831,45203
46237,47505
51607,54229
59932,62385
65916,69038
71099,71700
73498,75169
77685,79125
82939,83634
85220,88230
88849,91259
102648,103654
107465,107552
108894,111084
114307,118234
129941,132159
140477,141593
200746,201733
203111,204136
447353,449118
452741,454246
888876,891984
948016,949125
949556,950124
954278,954449
963324,964412
1006693,1007746
1075925,1076165
1079379,1080184
1867285,1868927
2103988,2105136
2117223,2118313
2120032,2120227
2264858,2265960
2337536,2339983
2410172,2411382
2497625,2499203
2580368,2581663
2593044,2594004
2640272,2641383
2647096,2648764
2670370,2671887
2827215,2829293
3007555,3008609
3152476,3153508
3161429,3163021
3171621,3172192
3199190,3200241
3332469,3333833
3336976,3338460
3357123,3357769
3378647,3380700
3487499,3489229
3490721,3491789
3509804,3510528
3512521,3513675
3555811,3556964
3604944,3605882
3680852,3681774
3719826,3721182
3723364,3723553
3925719,3927251
3937757,3938851
3944809,3945956
4029133,4030492
4031487,4033572
4047538,4048674
4106697,4107839
4128445,4130584
4224968,4226590
4235831,4237067
4251583,4252535
4291910,4293095
4343304,4344510
4359935,4361117
4374810,4375836
4419429,4420850
4438206,4440875
4449820,4452514
4453268,4456796
4463662,4464893
4467533,4469598
4471146,4474393
4474917,4475863
4476236,4478692
4490300,4492117
